,model,acc,cm,f1
0,random_forest_numerical_scaled,0.32223684210526315,"[[45  0  0 ...  2  1  6]
 [ 1 72  0 ...  5  1  0]
 [ 0  0  7 ...  0  2  4]
 ...
 [ 0 20  0 ... 62  0  1]
 [ 2  0  2 ...  3 66  2]
 [ 6  0  2 ...  0  1 73]]","[0.22959184 0.36548223 0.03406326 0.125      0.302267   0.18181818
 0.55837563 0.48948375 0.10942249 0.05940594 0.49363868 0.13548387
 0.28715365 0.57283951 0.50681199 0.17826087 0.57920792 0.31683168
 0.82847896 0.59168704 0.36318408 0.27737226 0.31111111 0.14634146
 0.58524173 0.21390374 0.48295455 0.59846547 0.1037037  0.14347826
 0.05867971 0.24289406 0.04225352 0.0974212  0.0733945  0.51153846
 0.24390244 0.304038   0.16997167 0.26666667 0.31877729 0.12158055
 0.87150838 0.13003096 0.19895288 0.38372093 0.4345679  0.11557789
 0.29906542 0.56447689 0.38297872 0.23584906 0.79889807 0.10309278
 0.50783699 0.20634921 0.07185629 0.09146341 0.17112299 0.78859857
 0.43645084 0.50458716 0.13231552 0.12339332 0.42268041 0.38738739
 0.68205128 0.14473684 0.06378132 0.17647059 0.33668342 0.0477327
 0.35121951 0.375      0.09382716 0.55981941 0.50480769 0.46382979
 0.50535332 0.43684211 0.18478261 0.41046278 0.35483871 0.25777778
 0.22       0.03208556 0.08629442 0.14754098 0.05459057 0.02702703
 0.19371728 0.28062361 0.26835443 0.73275862 0.25651303 0.63656885
 0.34013605 0.45754717 0.37956204 0.01530612 0.24448898 0.86602871
 0.06341463 0.26133333 0.19463087 0.75819672 0.18543046 0.19825073
 0.72599532 0.12182741 0.41214751 0.33972603 0.28265525 0.37340153]"
1,random_forest_numerical_not_scaled,0.32206140350877194,"[[54  0  0 ...  0  1  3]
 [ 0 84  0 ...  7  2  0]
 [ 0  0  5 ...  0  3  1]
 ...
 [ 0 15  0 ... 66  1  3]
 [ 1  1  1 ...  1 69  2]
 [ 5  0  3 ...  0  1 84]]","[0.24827586 0.42857143 0.02659574 0.09090909 0.33416459 0.19672131
 0.61358314 0.47937132 0.17297297 0.03703704 0.48329049 0.11688312
 0.27567568 0.51595745 0.43176179 0.16585366 0.59753086 0.33333333
 0.84383562 0.529274   0.34532374 0.31648352 0.33744856 0.18257261
 0.56       0.19796954 0.39296188 0.64397906 0.08310249 0.0935412
 0.08333333 0.20823245 0.04923077 0.08333333 0.12383901 0.4875
 0.27173913 0.2970297  0.18079096 0.24778761 0.31818182 0.12297735
 0.85085575 0.13407821 0.26732673 0.41595442 0.49861496 0.11979167
 0.30481283 0.55497382 0.36829837 0.25       0.84834123 0.08232446
 0.55191257 0.17894737 0.08994709 0.08994709 0.18338109 0.768
 0.4        0.52631579 0.08938547 0.10047847 0.42679901 0.38228438
 0.69585253 0.11933174 0.05188679 0.23872679 0.27895981 0.04938272
 0.33039648 0.36024845 0.12217195 0.55924171 0.4962406  0.3926097
 0.51403888 0.38983051 0.23195876 0.33467742 0.39808153 0.26540284
 0.14973262 0.06648199 0.05789474 0.14092141 0.05755396 0.02173913
 0.20365535 0.31132075 0.26273458 0.76635514 0.20940171 0.64840183
 0.32372506 0.50697674 0.38256659 0.02518892 0.27848101 0.84910486
 0.03553299 0.21635884 0.17333333 0.73614191 0.16393443 0.26239067
 0.70023981 0.11640212 0.44131455 0.34375    0.30666667 0.41277641]"
2,svc_numerical_scaled,0.2760526315789474,"[[40  0  1 ...  0  3  7]
 [ 1 45  0 ...  4  5  1]
 [ 0  0  6 ...  0  1  3]
 ...
 [ 0  9  0 ... 29  3  2]
 [ 4  0  2 ...  1 69  1]
 [ 4  0  0 ...  0  0 69]]","[0.17094017 0.25495751 0.04285714 0.0990099  0.26535627 0.12720848
 0.46952596 0.41121495 0.11688312 0.10769231 0.20246914 0.03265306
 0.1634103  0.356      0.34328358 0.20659341 0.54017857 0.22295082
 0.84432718 0.27712855 0.21181263 0.21352313 0.30288462 0.18246869
 0.45726496 0.135      0.26282051 0.49565217 0.0610687  0.1886121
 0.15384615 0.12631579 0.02542373 0.08163265 0.0610687  0.44701349
 0.13740458 0.24761905 0.12244898 0.0913242  0.25438596 0.04301075
 0.78571429 0.01818182 0.14655172 0.31313131 0.38588235 0.10830325
 0.185      0.36997319 0.27463651 0.20103093 0.63084112 0.20614035
 0.29461756 0.15282392 0.01       0.03524229 0.11510791 0.56017505
 0.41628959 0.46728972 0.07602339 0.1281337  0.3909465  0.21075269
 0.51889169 0.25487256 0.00813008 0.20379147 0.27478261 0.2037422
 0.28571429 0.36435644 0.12290503 0.55023923 0.37610619 0.44144144
 0.34576271 0.35555556 0.16296296 0.31282953 0.34024896 0.21459227
 0.21052632 0.04669261 0.07329843 0.09486166 0.13333333 0.0608365
 0.18255578 0.25769231 0.22151899 0.57199211 0.28628231 0.51509054
 0.25615764 0.43196544 0.20812183 0.05607477 0.22426471 0.75294118
 0.04743083 0.19555556 0.05217391 0.68879668 0.         0.09793814
 0.62411348 0.11721612 0.33695652 0.17901235 0.23793103 0.26037736]"
3,svc_numerical_not_scaled,0.02973684210526316,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.07943262 0.05839416 0.         0.02870813 0.
 0.         0.         0.         0.         0.         0.
 0.10921502 0.         0.         0.0251938  0.         0.
 0.         0.02398215 0.         0.         0.02690583 0.
 0.         0.         0.         0.         0.03831418 0.
 0.1849866  0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.06315789 0.01656627
 0.         0.         0.         0.         0.         0.00985222
 0.         0.03140097 0.         0.         0.         0.
 0.         0.03125    0.         0.         0.04363376 0.
 0.         0.14365523 0.         0.02030457 0.         0.
 0.         0.         0.         0.00803213 0.         0.
 0.         0.         0.         0.         0.         0.01790559
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.09766828 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
4,kneighbors_numerical_scaled,0.19798245614035087,"[[54  1  3 ...  0  0  2]
 [ 5 51  0 ...  2  2  0]
 [ 2  1 24 ...  0  0  0]
 ...
 [ 5 21  1 ... 13  1  3]
 [ 6  3  6 ...  1 17  0]
 [ 9  0  7 ...  0  0 40]]","[0.1264637  0.15863142 0.05762305 0.09142857 0.18932874 0.11487482
 0.27819549 0.26810478 0.09931507 0.05467626 0.20116054 0.0608365
 0.1197411  0.32093933 0.29175476 0.10150376 0.4037123  0.15071283
 0.75728155 0.3877551  0.25569177 0.15867159 0.16049383 0.11211573
 0.30576441 0.11790393 0.24586288 0.42410714 0.04592902 0.04050633
 0.09248555 0.12735849 0.02898551 0.04008909 0.10288066 0.32454361
 0.10285714 0.15890411 0.05208333 0.13649852 0.11600928 0.04481793
 0.66508314 0.06626506 0.08923885 0.23902439 0.26666667 0.05747126
 0.1281337  0.29589041 0.18518519 0.18226601 0.55868545 0.11480363
 0.16981132 0.08625337 0.07142857 0.08253968 0.05921053 0.34545455
 0.24725275 0.37333333 0.05228758 0.02684564 0.44628099 0.18181818
 0.34862385 0.13953488 0.07506702 0.08053691 0.13180516 0.02238806
 0.16201117 0.23195876 0.05696203 0.46153846 0.33163265 0.33628319
 0.38196286 0.35519126 0.17161716 0.16981132 0.16613419 0.09142857
 0.14983713 0.05333333 0.01470588 0.07942238 0.08945687 0.06349206
 0.22295082 0.13461538 0.13548387 0.52219321 0.11188811 0.53191489
 0.18965517 0.3106267  0.10752688 0.09756098 0.09386282 0.7027027
 0.03076923 0.29581994 0.00826446 0.60199005 0.10294118 0.16027875
 0.51371571 0.10355987 0.26586103 0.1023622  0.11333333 0.23054755]"
5,kneighbors_numerical_not_scaled,0.06263157894736843,"[[16  6  7 ...  0  0  0]
 [13 21  2 ...  1  0  0]
 [ 4  6 17 ...  0  0  2]
 ...
 [ 3  9  5 ...  3  1  2]
 [14  5  9 ...  1  0  1]
 [ 9  5 11 ...  1  1  1]]","[0.03288798 0.04501608 0.03868032 0.10847458 0.03708282 0.03596404
 0.04962779 0.04466501 0.07427056 0.02277904 0.03323263 0.03693182
 0.02077922 0.06125574 0.07912688 0.05984252 0.16       0.0443787
 0.04444444 0.2787194  0.20542636 0.07096774 0.01109057 0.0463097
 0.09153318 0.03636364 0.14424951 0.11034483 0.02389078 0.02409639
 0.05747126 0.14864865 0.01442308 0.03252033 0.07563025 0.03278689
 0.03693931 0.06842105 0.01530612 0.0952381  0.03693931 0.01985112
 0.12467532 0.02906977 0.03966006 0.03115265 0.04093567 0.00539084
 0.         0.0661157  0.04334365 0.19565217 0.02453988 0.12546125
 0.02135231 0.05471125 0.08615385 0.07885305 0.00684932 0.07518797
 0.02836879 0.01384083 0.02867384 0.         0.45614035 0.03333333
 0.10126582 0.09221902 0.07831325 0.01652893 0.01581028 0.02316602
 0.01694915 0.07333333 0.00787402 0.         0.01877934 0.01568627
 0.16766467 0.09386282 0.22142857 0.015625   0.02189781 0.0660066
 0.08979592 0.02846975 0.01762115 0.04938272 0.05263158 0.02281369
 0.1294964  0.03088803 0.13333333 0.09486166 0.03584229 0.04285714
 0.03238866 0.02380952 0.0546875  0.07722008 0.00843882 0.12363636
 0.05882353 0.26490066 0.03238866 0.05776173 0.1119403  0.07758621
 0.02264151 0.02409639 0.03861004 0.02608696 0.         0.00775194]"
6,tree_numerical_scaled,0.21214912280701753,"[[21  0  3 ...  0  2  3]
 [ 2 39  0 ... 12  1  0]
 [ 0  1 11 ...  0  3  3]
 ...
 [ 3 12  0 ... 35  1  2]
 [ 2  2  0 ...  2 37  0]
 [ 3  0  6 ...  2  0 32]]","[0.0990566  0.195      0.03697479 0.11180124 0.15238095 0.09544469
 0.46153846 0.24678663 0.1047836  0.09255533 0.33090024 0.06779661
 0.13625304 0.38117647 0.21714286 0.10731707 0.46116505 0.144
 0.78590786 0.44444444 0.27096774 0.18981481 0.17917676 0.10416667
 0.39408867 0.14249364 0.23640662 0.43478261 0.03340292 0.03535354
 0.04907975 0.1875     0.04123711 0.07058824 0.07843137 0.33962264
 0.10888252 0.17218543 0.08374384 0.18536585 0.17927171 0.05291005
 0.7967033  0.08374384 0.14519906 0.22169811 0.21621622 0.02564103
 0.1712963  0.38797814 0.19854722 0.1875     0.66830467 0.14159292
 0.33516484 0.07692308 0.05472637 0.06557377 0.11979167 0.60176991
 0.31552163 0.35323383 0.07109005 0.03100775 0.44836272 0.18795181
 0.49608355 0.1252302  0.04050633 0.11528822 0.15668203 0.03669725
 0.1420765  0.28132992 0.09302326 0.36363636 0.3038674  0.26735219
 0.4345679  0.24427481 0.17632242 0.16363636 0.19270833 0.14814815
 0.10714286 0.04316547 0.01729107 0.05744125 0.03658537 0.01320132
 0.19104478 0.17917676 0.11111111 0.69172932 0.09045226 0.50127877
 0.2642487  0.34078212 0.20596206 0.02877698 0.11506849 0.81481481
 0.04154303 0.25915493 0.08510638 0.60199005 0.167979   0.13477089
 0.57217848 0.09947644 0.24933687 0.1754386  0.19680851 0.16931217]"
7,tree_numerical_not_scaled,0.21486842105263157,"[[22  2  1 ...  1  1  1]
 [ 1 27  0 ... 20  2  0]
 [ 0  1  7 ...  1  4  1]
 ...
 [ 5 11  3 ... 28  2  2]
 [ 0  0  6 ...  1 28  1]
 [ 2  2  5 ...  0  1 48]]","[0.11       0.15041783 0.02405498 0.1030445  0.2616408  0.07159905
 0.45714286 0.26771654 0.11439842 0.03726708 0.36792453 0.07582938
 0.13367609 0.3622449  0.22857143 0.10679612 0.40201005 0.20551378
 0.79334917 0.46153846 0.31428571 0.17156863 0.23762376 0.12903226
 0.44168734 0.145      0.25742574 0.40506329 0.05293006 0.05140187
 0.08056042 0.18965517 0.03370787 0.08296943 0.0688172  0.35475578
 0.16315789 0.16666667 0.10473815 0.21674877 0.16931217 0.07425743
 0.7839196  0.07633588 0.13908873 0.19733333 0.25761124 0.03398058
 0.18719212 0.36453202 0.1969697  0.12676056 0.6779661  0.12426036
 0.3832021  0.08071749 0.09302326 0.09815951 0.12077295 0.53824363
 0.24289406 0.33152174 0.07775378 0.0653951  0.36021505 0.21348315
 0.512      0.13178295 0.03240741 0.13533835 0.13192612 0.04154303
 0.12256267 0.26041667 0.05194805 0.4205379  0.33333333 0.31122449
 0.38596491 0.23268698 0.17222222 0.23157895 0.22459893 0.15763547
 0.06366048 0.045      0.06179775 0.11229947 0.06382979 0.01212121
 0.15384615 0.18421053 0.17486339 0.69586375 0.09677419 0.4792176
 0.22604423 0.27826087 0.21515892 0.04376368 0.11956522 0.75989446
 0.00598802 0.18232044 0.0877193  0.57881137 0.16666667 0.12886598
 0.58638743 0.07624633 0.22102426 0.14       0.16       0.26086957]"
